address,price_in_dollars,number_of_bedrooms,number_of_baths,area in sq.meter,city,state
1866 20th Ave,294900,1.0,1.0,89.55778520995914,Arkdale,Wisconsin
1639 Pine St,89500,2.0,1.0,85.84169453734671,Arkdale,Wisconsin
1644 20th Ave,475000,3.0,2.0,202.8985507246377,Arkdale,Wisconsin
2054 Cumberland Ave,179000,4.0,1.0,162.02155332590115,Arkdale,Wisconsin
1841 20th Ct,359000,3.0,2.0,156.9119286510591,Arkdale,Wisconsin
2011-4 S Czech Crossing 3004,359900,4.0,2.0,207.91527313266445,Arkdale,Wisconsin
2009-7 S Czech Ct 0907,359000,3.0,2.0,198.06763285024155,Arkdale,Wisconsin
1988 Cumberland Dr,139900,1.0,1.0,53.883314752879976,Arkdale,Wisconsin
1959 N Cypress Ln,165000,2.0,1.0,89.18617614269789,Arkdale,Wisconsin
1683 Browndeer Ave,330000,3.0,2.0,185.8045336306206,Arkdale,Wisconsin
1844-7 E 20th Ct 2507,350000,3.0,2.0,198.06763285024155,Arkdale,Wisconsin
734 & 736 W 17th Dr,159000,3.0,2.0,95.31772575250837,Arkdale,Wisconsin
1952 Hwy 21,85000,2.0,2.0,124.86064659977704,Arkdale,Wisconsin
1114 W 15th Ave,234900,2.0,2.0,124.86064659977704,Arkdale,Wisconsin
1951 Cypress Ln,129900,2.0,1.0,86.95652173913044,Arkdale,Wisconsin
722 W 17th Drive,99000,2.0,1.0,73.11408398364921,Arkdale,Wisconsin
761 18th Ave,480000,4.0,3.0,222.5938312894835,Arkdale,Wisconsin
L14 W 19th Ln,571100,4.0,3.0,213.58231140839837,Arkdale,Wisconsin
L24 S Czech Ct,343200,3.0,2.0,119.65811965811966,Arkdale,Wisconsin
1382 Edgewood Dr,149900,4.0,2.0,190.63545150501673,Adams,Wisconsin
2848 Hwy 13,174900,2.0,1.0,195.46636937941287,Adams,Wisconsin
974 County Road E,139900,3.0,1.0,116.87105165366036,Adams,Wisconsin
209 N Pine St,64900,2.0,1.0,53.51170568561873,Adams,Wisconsin
333 S Walker St,229900,4.0,2.0,304.9981419546637,Adams,Wisconsin
2731 9th Dr,499900,3.0,2.0,197.69602378298032,Adams,Wisconsin
332 S Pierce St,199900,3.0,1.0,118.54329245633595,Adams,Wisconsin
2285 11th Ave,469900,2.0,2.0,130.06317354143442,Adams,Wisconsin
225 S Linden St,43500,3.0,1.0,109.25306577480491,Adams,Wisconsin
164 S Walker St,63800,1.0,1.0,53.51170568561873,Adams,Wisconsin
1378 Dyke Dr,749900,3.0,2.0,,Adams,Wisconsin
1026 County Road M Lot 88,24000,2.0,1.0,43.19955406911929,Adams,Wisconsin
1049 Deerborn Ave,295000,,,,Adams,Wisconsin
1091 Ember Dr,225000,2.0,2.0,98.10479375696768,Adams,Wisconsin
900 20th Ave S 1410,725000,1.0,1.0,118.54329245633595,Nashville,Tennessee
1260 Martin St 409,524500,2.0,2.0,104.51505016722409,Nashville,Tennessee
7478 River Road Pike,1750000,3.0,4.0,387.8669639539205,Nashville,Tennessee
5922B Carl Pl,640000,3.0,3.0,183.9464882943144,Nashville,Tennessee
2308B Lloyd Ave,499900,3.0,3.0,172.14790040876997,Nashville,Tennessee
834 Woodmont Blvd,749000,3.0,2.0,156.0758082497213,Nashville,Tennessee
805 Cherokee Ave 4,469900,2.0,3.0,102.19249349684132,Nashville,Tennessee
805 Cherokee Ave 3,469900,2.0,3.0,102.19249349684132,Nashville,Tennessee
1104B Cecilia Ave,865000,4.0,4.0,259.3831289483464,Nashville,Tennessee
5812 Woodland Hills Dr,1799000,5.0,5.0,470.36417688591604,Nashville,Tennessee
3101 Lumberjack Rd,450000,4.0,4.0,220.36417688591604,Nashville,Tennessee
1915A 15th Ave N,629900,4.0,3.0,190.91415830546268,Nashville,Tennessee
4001 Anderson Rd H43,275000,3.0,2.0,147.0642883686362,Nashville,Tennessee
805 Cherokee Ave 5,469900,2.0,3.0,102.19249349684132,Nashville,Tennessee
217 Andover Way,780000,3.0,3.0,294.2214790040877,Nashville,Tennessee
271 Garry Dr,285000,3.0,1.0,94.20289855072464,Nashville,Tennessee
4401 Kentucky Ave,9000000,1.0,1.0,1406.819026384244,Nashville,Tennessee
4405 Kentucky Ave,8000000,1.0,1.0,1225.3808992939428,Nashville,Tennessee
